country,city,district,min_booking_duration,beds,rooms,deposit,area,price,accommodates,number_of_pics,cleaning_fee,first_pic_category,was_published,clicks_count
1,155,840,2,2,2,2500.0,59.0,1890.0,4,11,100.0,LIVING_ROOM,1,266
1,155,41,1,4,3,1250.0,75.0,2350.0,4,22,150.0,OUTDOOR_HOUSE,1,133
2,1086,,1,1,2,3878.0,43.0,3878.0,2,22,150.0,ROOM_BEDROOM,1,17
1,771,782,3,0,0,0.0,,,,,,,0,0
1,187,213,1,0,0,0.0,,,,,,,0,0
1,416,435,1,0,0,0.0,,,,,,,0,0
1,944,921,1,0,0,0.0,,,,,,,0,0
2,1086,,6,1,1,2200.0,26.0,1180.0,1,4,0.0,ROOM_BEDROOM,1,104
1,595,397,5,1,3,4000.0,65.0,2100.0,2,1,250.0,TWO_D_FLOOR_PLAN,1,25
1,450,469,1,0,0,0.0,,,,,,,0,0
1,63,72,1,5,4,1000.0,100.0,2500.0,5,9,50.0,DINING_ROOM,1,32
1,1563,1403,1,0,0,0.0,,,,,,,0,0
1,155,1068,1,0,0,0.0,,,,,,,0,0
0,1530,,1,1,1,0.0,40.0,1700.0,2,10,80.0,UNCATEGORIZED,1,5
1,155,1068,1,0,0,0.0,,,,,,,0,0
1,450,469,6,1,2,4000.0,57.0,1950.0,2,15,200.0,LIVING_ROOM,1,297
1,155,314,3,2,3,5580.0,98.0,2890.0,4,14,210.0,LIVING_ROOM,1,160
1,1119,317,1,2,1,1290.0,32.0,1290.0,4,6,75.0,BATHROOM,1,1
1,155,314,1,2,2,3000.0,52.0,1995.0,2,20,200.0,LIVING_ROOM,1,451
1,834,830,3,1,3,3400.0,80.0,1700.0,2,22,200.0,LIVING_ROOM,1,233
1,155,916,1,0,0,0.0,,,,,,,0,0
1,834,830,1,0,0,0.0,,,,,,,0,0
2,1086,,1,6,5,700.0,183.0,27096.0,10,14,150.0,ROOM_BEDROOM,1,1
1,968,940,3,0,0,0.0,,,,,,,0,0
2,1449,,1,0,2,900.0,42.0,900.0,1,5,50.0,ROOM_BEDROOM,1,1081
2,1459,,1,0,0,0.0,,,,,,,0,0
1,632,649,1,0,0,0.0,,,,,,,0,0
1,537,555,1,6,3,1500.0,59.0,1950.0,6,9,90.0,LIVING_DINING_ROOM,1,19
1,1211,1143,2,2,2,1000.0,41.0,1430.0,1,5,80.0,OUTDOOR_BUILDING,1,7
1,199,224,6,0,0,0.0,,,,,,,0,0
1,155,314,6,2,2,2200.0,67.0,2200.0,2,22,150.0,ROOM_BEDROOM,1,42
